?..ID,soil,h_cm,BD,Texture,Sand,Silt,Clay,OM,GWC,VWC
1,I,5,1.6,Sand,93,1,6,0.07,0.24,0.384
2,I,10,1.6,Sand,93,1,6,0.07,0.234,0.3744
3,I,20,1.6,Sand,93,1,6,0.07,0.184,0.2944
4,I,30,1.6,Sand,93,1,6,0.07,0.099,0.1584
5,I,40,1.6,Sand,93,1,6,0.07,0.053,0.0848
6,I,60,1.6,Sand,93,1,6,0.07,0.028,0.0448
7,I,71.4,1.6,Sand,93,1,6,0.07,0.026,0.0416
8,I,80,1.6,Sand,93,1,6,0.07,0.023,0.0368
9,I,96,1.6,Sand,93,1,6,0.07,0.021,0.0336
10,I,102,1.6,Sand,93,1,6,0.07,0.019,0.0304
11,I,142.9,1.6,Sand,93,1,6,0.07,0.021,0.0336
12,I,403.1,1.6,Sand,93,1,6,0.07,0.013,0.0208
13,I,857.1,1.6,Sand,93,1,6,0.07,0.012,0.0192
14,I,1020.4,1.6,Sand,93,1,6,0.07,0.012,0.0192
15,I,3061.2,1.6,Sand,93,1,6,0.07,0.012,0.0192
16,I,5051,1.6,Sand,93,1,6,0.07,0.01,0.016
17,I,8163.2,1.6,Sand,93,1,6,0.07,0.009,0.0144
18,I,10204,1.6,Sand,93,1,6,0.07,0.008,0.0128
19,I,15306,1.6,Sand,93,1,6,0.07,0.007,0.0112
20,II,5,1.41,Sandy loam,67,21,12,0.86,0.317,0.44697
21,II,10,1.41,Sandy loam,67,21,12,0.86,0.281,0.39621
22,II,20,1.41,Sandy loam,67,21,12,0.86,0.267,0.37647
23,II,30,1.41,Sandy loam,67,21,12,0.86,0.256,0.36096
24,II,40,1.41,Sandy loam,67,21,12,0.86,0.247,0.34827
25,II,51,1.41,Sandy loam,67,21,12,0.86,0.183,0.25803
26,II,102,1.41,Sandy loam,67,21,12,0.86,0.134,0.18894
27,II,295.9,1.41,Sandy loam,67,21,12,0.86,0.086,0.12126
28,II,510.2,1.41,Sandy loam,67,21,12,0.86,0.076,0.10716
29,II,714.3,1.41,Sandy loam,67,21,12,0.86,0.07,0.0987
30,II,1020.4,1.41,Sandy loam,67,21,12,0.86,0.066,0.09306
31,II,3061.2,1.41,Sandy loam,67,21,12,0.86,0.054,0.07614
32,II,5000,1.41,Sandy loam,67,21,12,0.86,0.048,0.06768
33,II,15101.9,1.41,Sandy loam,67,21,12,0.86,0.038,0.05358
