labsampnum,db_13b,w0,w6clodVMW,w10cldVMW,w3cldVMW,w15l2VMW,COLEws,adod,cec7_cly,w15cly,result_source_key,latitude_decimal_degrees,longitude_decimal_degrees,lab_texture_class,sand_tot_psa,silt_tot_psa,clay_tot_psa,db_od,alpha,Ko,Ks,Lpar,npar,theta_r,theta_s,ten_npar,ten_alpha
00P03167,1.46,0.449056604,0.42924,0.4234,0.41464,0.12702,0.018,1.014,0.69,0.49,160720,NA,NA,sil,31.1,51.1,17.8,1.54,-3.060894537,-0.296181224,0.770851788,0.612343069,0.365045715,0.078594338,0.434778204,2.317638598,0.000869171
00P03168,1.37,0.483018868,0.4658,0.45758,0.44251,0.14659,0.026,1.017,0.82,0.58,160721,NA,NA,sil,21.5,60.1,18.4,1.48,-3.06184907,-0.292202041,0.993230595,0.474776402,0.37283996,0.094378445,0.47138694,2.359608544,0.000867263
00P03169,1.36,0.486792453,0.46512,0.45152,0.4284,0.16184,0.035,1.019,0.76,0.52,160722,NA,NA,sil,18.9,58,23.1,1.51,-2.928329916,-0.262083208,1.047064119,0.644583649,0.316901653,0.090034991,0.472331171,2.074443702,0.001179424
00P03170,1.51,0.430188679,0.35334,0.34277,0.32465,0.05738,0.002,1.005,0.86,0.58,160723,NA,NA,fsl,73.1,20.4,6.5,1.52,-2.789161481,-0.088477192,1.008558947,0.871984838,0.295229296,0.036505712,0.370985677,1.973464398,0.001624944
00P03171,1.49,0.437735849,0.41273,0.39336,0.34419,0.09089,0.009,1.007,0.53,0.49,160724,NA,NA,l,42.1,45.4,12.5,1.53,-2.827087512,-0.152374246,0.971896224,0.798814209,0.302554256,0.049865338,0.387983192,2.007031811,0.001489061
00P03172,1.55,0.41509434,0.32705,0.2914,0.2449,0.03565,0.021,1.004,1.03,0.58,160725,NA,NA,lfs,79,17,4,1.65,-2.386983211,0.290690624,1.211924798,0.619320061,0.210802907,0.021572652,0.348754617,1.624811211,0.0041022
00P03173,1.55,0.41509434,0.35805,0.3472,0.32395,0.1116,0.013,1.01,0.72,0.55,160726,NA,NA,l,50.3,36.7,13,1.61,-2.62036703,-0.040826801,0.86752928,0.687268172,0.233589896,0.04593516,0.377191882,1.712339583,0.002396806
00P03174,1.72,0.350943396,0.2838,0.24252,0.19436,0.03268,0.011,1.003,1.18,0.68,160727,NA,NA,ls,86,11.2,2.8,1.78,-2.094194174,0.616122767,1.150753715,0.038259128,0.167657132,0.017818613,0.317668446,1.471150596,0.008050184
00P03175,1.78,0.328301887,0.21538,0.20648,0.19758,0.04272,0.005,1.004,0.88,0.56,160728,NA,NA,ls,84.5,11.2,4.3,1.81,-2.091973958,0.601717741,1.016315205,-0.042198082,0.162480886,0.019579295,0.309122215,1.453720404,0.008091444
00P04484,1.1,0.58490566,0.4147,0.3762,0.3421,0.1595,0.027,1.045,1.43,0.62,161998,43.2883339,-116.8441696,l,32.5,44.2,23.3,1.2,-2.075740865,0.528481067,1.817654404,0.277208266,0.151754733,0.060258302,0.493374315,1.418256338,0.00839961
