Code,Description,Theta_r,Theta_s,Alpha,Npar,Usedmodel
1010,UNSODA(lab),0.076728,0.368268,0.026822,2.503712,
1011,UNSODA(lab),0.0673,0.400885,0.028611,3.174515,
1012,UNSODA(lab),0.0579,0.371368,0.029914,2.944805,
1013,UNSODA(lab),0.0414,0.37214,0.033335,2.726928,
1014,UNSODA(lab),0.0365,0.364938,0.031002,2.837025,
1015,UNSODA(lab),0.104212,0.263295,0.037588,1.598567,
1020,UNSODA(lab),0.096456,0.403505,0.0585,2.288246,
1021,UNSODA(lab),0.069329,0.364639,0.103375,1.869308,
1022,UNSODA(lab),0.051373,0.366617,0.114223,1.876864,
1023,UNSODA(lab),0.042378,0.340339,0.133962,1.940188,
1024,UNSODA(lab),0.046643,0.319176,0.116449,2.076583,
1030,UNSODA(lab),0.05,0.386638,0.02939,1.868985,
1031,UNSODA(lab),0.05,0.36112,0.026552,1.905705,
1032,UNSODA(lab),0.040169,0.362252,0.029281,1.725752,
1041,UNSODA(lab),0.067484,0.325247,0.024775,4.014851,
1042,UNSODA(lab),0.056102,0.333793,0.024741,4.161303,
1043,UNSODA(lab),0.043946,0.313618,0.02227,4.684471,
1050,UNSODA(lab),0.071716,0.366903,0.042483,3.334381,
1051,UNSODA(lab),0.067358,0.374099,0.061121,2.917883,
1052,UNSODA(lab),0.061854,0.352139,0.068062,3.343796,
1053,UNSODA(lab),0.037752,0.340989,0.069813,3.573103,
1054,UNSODA(lab),0.029359,0.347531,0.072947,4.218953,
1060,UNSODA(lab),0.066662,0.353489,0.039567,3.454086,
1061,UNSODA(lab),0.05213,0.337037,0.044598,3.621651,
1062,UNSODA(lab),0.06855,0.328911,0.047659,3.150477,
1063,UNSODA(lab),0.04517,0.353549,0.04948,3.449182,
1070,UNSODA(lab),0.074735,0.450522,0.058664,2.527243,
1071,UNSODA(lab),0.060125,0.304326,0.048082,3.0386,
1072,UNSODA(lab),0.051068,0.31801,0.060861,2.717401,
1073,UNSODA(lab),0.031666,0.310964,0.065138,2.972811,
1074,UNSODA(lab),0.0244,0.352453,0.089929,2.585965,
1075,UNSODA(lab),0.049592,0.351642,0.08362,2.590924,
1090,UNSODA(lab),0.043574,0.37696,0.051002,1.53078,
1091,UNSODA(lab),0.066099,0.304395,0.072575,1.284784,
1092,UNSODA(lab),0.000001,0.352957,0.02894,1.085651,
1100,UNSODA(lab),0.0838,0.343396,0.048855,2.549506,
1101,UNSODA(lab),0.082752,0.309434,0.281962,1.425865,
1102,UNSODA(lab),0.121744,0.346744,0.15904,1.297305,
1103,UNSODA(lab),0,0.411321,0.281982,1.103703,
1104,UNSODA(lab),0.133125,0.383934,0.142021,1.158356,
1110,UNSODA(lab),0.09296,0.313127,0.022392,3.166662,
1111,UNSODA(lab),0.019954,0.34717,0.169171,1.34546,
1112,UNSODA(lab),0,0.394825,0.544711,1.11841,
1113,UNSODA(lab),0.000001,0.444262,0.721881,1.08503,
1115,UNSODA(lab),0,0.445874,0.657473,1.055413,
1116,UNSODA(lab),0.000012,0.398606,0.69455,1.050671,
1117,UNSODA(lab),0,0.377025,0.744517,1.055219,
1120,UNSODA(lab),0.079514,0.289394,0.012384,1.881298,
1121,UNSODA(lab),0,0.324056,0.003527,1.332481,
1122,UNSODA(lab),0,0.359984,0.015003,1.052468,
1123,UNSODA(lab),0.000002,0.360034,0.007825,1.056881,
1130,UNSODA(lab),0,0.399238,0.06509,1.292529,
1131,UNSODA(lab),0,0.256604,0.030306,1.196598,
1132,UNSODA(lab),0.000002,0.334911,0.005106,1.186073,
1133,UNSODA(lab),0.200421,0.3266,0.000764,2.840442,
1140,UNSODA(lab),0.077377,0.377144,0.025918,4.16765,
1141,UNSODA(lab),0.086458,0.289381,0.021755,3.95635,
1160,UNSODA(lab),0.059351,0.398198,0.098769,1.46615,
1161,UNSODA(lab),0.1546,0.332075,0.44667,1.335996,
1162,UNSODA(lab),0.2999,0.412368,0.033264,1.357951,
1163,UNSODA(lab),0,0.420587,0.368888,1.043925,
1164,UNSODA(lab),0,0.363617,0.007184,1.081422,
1165,UNSODA(lab),0,0.350943,0.046512,1.043494,
1166,UNSODA(lab),0,0.362264,0.06403,1.064078,
1170,UNSODA(lab),0.163719,0.325743,0.021868,2.073378,
1171,UNSODA(lab),0.000002,0.390299,0.940996,1.070761,
1172,UNSODA(lab),0.000001,0.514892,0.999999,1.042463,
1173,UNSODA(lab),0,0.479245,0.998946,1.022107,
1174,UNSODA(lab),0.299951,0.473219,0.025452,1.245196,
1180,UNSODA(lab),0.207649,0.485615,1,1.168222,
1181,UNSODA(lab),0.20524,0.536843,1,1.130493,
1182,UNSODA(lab),0.136043,0.570376,0.99994,1.070868,
1183,UNSODA(lab),0,0.518948,0.999994,1.043491,
1184,UNSODA(lab),0,0.53226,0.495477,1.07626,
1190,UNSODA(lab),0.2777,0.355872,0.011916,3.550781,
1191,UNSODA(lab),0,0.414055,0.999982,1.050908,
1192,UNSODA(lab),0.3,0.3908,0.041314,1.186374,
1193,UNSODA(lab),0,0.3854,0.998991,1.014466,
1194,UNSODA(lab),0,0.40331,0.008631,1.092688,
1200,UNSODA(lab),0.169567,0.33073,0.01003,2.583563,
1201,UNSODA(lab),0.000006,0.3683,0.999003,1.033785,
1202,UNSODA(lab),0,0.332075,0.288341,1.088849,
1203,UNSODA(lab),0.000002,0.324528,0.032372,1.368233,
1204,UNSODA(lab),0,0.313208,0.047183,1.272145,
1210,UNSODA(lab),0.218099,0.339494,0.007975,3.132227,
1211,UNSODA(lab),0,0.398153,0.006171,1.381571,
1212,UNSODA(lab),0.227131,0.413671,0.009979,1.613472,
1213,UNSODA(lab),0,0.4673,0.021125,1.078894,
1280,UNSODA(lab),0.053783,0.411017,0.006289,1.530631,
1281,UNSODA(lab),0.075827,0.389465,0.004744,1.842465,
1282,UNSODA(lab),0,0.399516,0.017031,1.127745,
1290,UNSODA(lab),0.09997,0.410369,0.030945,3.377303,
1300,UNSODA(lab),0.000002,0.39709,0.032245,1.233585,
1301,UNSODA(lab),0.000011,0.378366,0.018005,1.198156,
1320,UNSODA(lab),0.259775,0.322009,0.000292,3.000649,
1330,UNSODA(lab),0.07,0.383639,0.002907,1.854801,
1331,UNSODA(lab),0,0.385658,0.025879,1.118849,
1340,UNSODA(lab),0,0.38358,0.010963,1.2198,
1341,UNSODA(lab),0,0.385909,0.022173,1.224201,
1342,UNSODA(lab),0,0.392984,0.030569,1.213688,
1350,UNSODA(lab),0,0.46853,0.038672,1.227345,
1351,UNSODA(lab),0.038313,0.375659,0.010917,1.26676,
1352,UNSODA(lab),0.052421,0.384854,0.011978,1.312304,
1360,UNSODA(lab),0,0.4485,0.004443,1.109687,
1361,UNSODA(lab),0,0.437736,0.006685,1.11867,
1362,UNSODA(lab),0.000002,0.473428,0.025933,1.127254,
1370,UNSODA(lab),0.000001,0.641509,0.065796,1.110166,
1371,UNSODA(lab),0.208051,0.407109,0.002723,1.379663,
1372,UNSODA(lab),0,0.450755,0.002972,1.114368,
1380,UNSODA(lab),0,0.360018,0.003748,1.298011,
1381,UNSODA(lab),0.000001,0.34717,0.040635,1.156882,
1382,UNSODA(lab),0,0.3423,0.014777,1.114043,
1383,UNSODA(lab),0.000003,0.315092,0.002074,1.105595,
1390,UNSODA(lab),0,0.367663,0.055257,1.255032,
1391,UNSODA(lab),0,0.335647,0.032178,1.268946,
1392,UNSODA(lab),0,0.338227,0.050768,1.267032,
1420,UNSODA(lab),0.133153,0.527418,0.00939,1.360572,
1461,UNSODA(lab),0.020504,0.377358,0.073516,2.982602,
1462,UNSODA(lab),0.017785,0.433962,0.051987,2.893407,
1463,UNSODA(lab),0.025,0.403774,0.030131,3.794589,
1464,UNSODA(lab),0.023,0.369811,0.024217,3.258991,
1465,UNSODA(lab),0.023141,0.324248,0.022094,1.776362,
1466,UNSODA(lab),0.029,0.389057,0.014565,4.80866,
1467,UNSODA(lab),0,0.316981,0.052803,1.374081,
1490,UNSODA(lab),0.025891,0.398063,0.007475,1.224726,
2000,UNSODA(lab),0,0.357857,0.006373,1.16144,
2001,UNSODA(lab),0,0.361075,0.019188,1.138497,
2002,UNSODA(lab),0.000005,0.368854,0.011498,1.132271,
2010,UNSODA(lab),0,0.406964,0.069544,1.132602,
2011,UNSODA(lab),0,0.370092,0.006527,1.142326,
2012,UNSODA(lab),0.031304,0.394306,0.018175,1.174877,
2020,UNSODA(lab),0,0.686602,0.093152,1.072942,
2021,UNSODA(lab),0.299971,0.649216,0.051342,1.093433,
2022,UNSODA(lab),0.299966,0.674567,0.085358,1.125148,
2100,UNSODA(lab),0.016227,0.371721,0.061742,1.574641,
2102,UNSODA(lab),0.032763,0.415,0.090479,1.59372,
2103,UNSODA(lab),0.030902,0.401063,0.103436,1.506245,
2104,UNSODA(lab),0.033181,0.395044,0.071585,1.620066,
2105,UNSODA(lab),0.028584,0.387104,0.063836,1.551683,
2110,UNSODA(lab),0.145593,0.350406,0.022093,2.160931,
2111,UNSODA(lab),0.088226,0.290753,0.047898,1.340993,
2120,UNSODA(lab),0.071021,0.366645,0.036551,4.418941,
2121,UNSODA(lab),0.073324,0.345255,0.036291,4.133399,
2122,UNSODA(lab),0.097133,0.353579,0.038888,3.412899,
2123,UNSODA(lab),0.080637,0.390991,0.048401,3.541385,
2124,UNSODA(lab),0.05893,0.373731,0.048013,3.537701,
2125,UNSODA(lab),0.051954,0.347005,0.048248,3.608484,
2126,UNSODA(lab),0.036741,0.359749,0.056874,3.144638,
2130,UNSODA(lab),0.000001,0.399869,0.224576,1.159536,
2131,UNSODA(lab),0,0.299803,0.155592,1.125159,
2132,UNSODA(lab),0.000001,0.300423,0.04564,1.150018,
2160,UNSODA(lab),0.000401,0.685533,0.228634,1.046377,
2161,UNSODA(lab),0.000005,0.781085,0.237659,1.061843,
2190,UNSODA(lab),0,0.376061,0.041751,1.97877,
2191,UNSODA(lab),0.085915,0.354849,0.060972,3.850645,
2192,UNSODA(lab),0.074365,0.415094,0.1021,2.591125,
2193,UNSODA(lab),0.053805,0.389383,0.067864,3.048591,
2194,UNSODA(lab),0.081167,0.399282,0.068063,3.411556,
2195,UNSODA(lab),0.086585,0.397136,0.049617,3.0662,
2196,UNSODA(lab),0.1134,0.363753,0.162074,7.587577,
2197,UNSODA(lab),0.023771,0.380501,0.080269,2.062952,
2198,UNSODA(lab),0.103848,0.404599,0.076954,3.966611,
2200,UNSODA(lab),0.029855,0.375715,0.036581,3.481547,
2201,UNSODA(lab),0.071995,0.372466,0.100768,3.34061,
2203,UNSODA(lab),0,0.376379,0.08931,2.817761,
2220,UNSODA(lab),0.074729,0.328302,0.011815,4.354929,
2221,UNSODA(lab),0.032168,0.328302,0.017218,2.922398,
2241,UNSODA(lab),0.154965,0.495222,0.01651,4.881203,
2242,UNSODA(lab),0.162568,0.544,0.023907,4.842025,
2243,UNSODA(lab),0.155,0.518,0.020452,4.679911,
2250,UNSODA(lab),0,0.411321,0.140756,6.250221,
2251,UNSODA(lab),0.048877,0.422642,0.149931,9.999998,
2252,UNSODA(lab),0.05192,0.426413,0.146032,10,
2253,UNSODA(lab),0.04976,0.433962,0.168576,8.534266,
2320,UNSODA(lab),0,0.324,0.342999,1.062071,
2321,UNSODA(lab),0,0.372,0.145126,1.055014,
2334,UNSODA(lab),0.042326,0.363734,0.012958,3.736365,
2340,UNSODA(lab),0.236194,0.50863,0.041926,1.189922,
2341,UNSODA(lab),0.181763,0.399965,0.037758,1.262839,
2342,UNSODA(lab),0.094918,0.33674,0.027921,2.90149,
2350,UNSODA(lab),0.3,0.554717,0.08428,1.124859,
2351,UNSODA(lab),0,0.485,0.998991,1.028845,
2360,UNSODA(lab),0,0.492,0.019613,1.073053,
2361,UNSODA(lab),0,0.551286,0.004467,1.083492,
2362,UNSODA(lab),0.000003,0.554295,0.000823,1.112559,
2370,UNSODA(lab),0.110805,0.422146,0.01496,1.55249,
2371,UNSODA(lab),0.000004,0.399878,0.050596,1.274557,
2372,UNSODA(lab),0.056,0.370787,0.041905,1.900157,
2373,UNSODA(lab),0.112306,0.40492,0.076412,1.838938,
2374,UNSODA(lab),0.066114,0.528302,0.260324,1.359447,
2380,UNSODA(lab),0.154358,0.404198,0.021808,3.027719,
2381,UNSODA(lab),0.143405,0.377117,0.024828,2.527505,
2382,UNSODA(lab),0.090513,0.352301,0.02345,3.227061,
2383,UNSODA(lab),0.040741,0.363459,0.02335,5.244978,
2384,UNSODA(lab),0.072302,0.363685,0.022769,4.259633,
2385,UNSODA(lab),0.085106,0.393062,0.018865,4.803848,
2390,UNSODA(lab),0.225711,0.440478,0.012865,1.940728,
2391,UNSODA(lab),0.131084,0.426942,0.024008,1.437426,
2392,UNSODA(lab),0.046249,0.42793,0.029688,1.265659,
2393,UNSODA(lab),0.105972,0.342296,0.015852,3.219805,
2394,UNSODA(lab),0.099285,0.350238,0.015324,3.183663,
2395,UNSODA(lab),0,0.407087,0.006594,2.871175,
2400,UNSODA(lab),0.196731,0.454139,0.01569,1.58313,
2401,UNSODA(lab),0.150069,0.415036,0.026936,1.465694,
2402,UNSODA(lab),0.169813,0.444823,0.031616,1.434121,
2403,UNSODA(lab),0,0.426013,0.005119,1.472467,
2405,UNSODA(lab),0.183622,0.446332,0.00432,4.104465,
2410,UNSODA(lab),0.190923,0.436338,0.01585,2.039326,
2411,UNSODA(lab),0,0.403475,0.016003,1.258358,
2412,UNSODA(lab),0.000001,0.40092,0.017962,1.345526,
2414,UNSODA(lab),0.000001,0.409732,0.00763,2.440681,
2420,UNSODA(lab),0.181686,0.398939,0.020373,3.408994,
2421,UNSODA(lab),0.139884,0.340493,0.020013,3.169934,
2422,UNSODA(lab),0.11154,0.374425,0.025137,4.088088,
2423,UNSODA(lab),0.143606,0.341249,0.018364,3.796131,
2424,UNSODA(lab),0.111,0.359383,0.016955,4.736625,
2425,UNSODA(lab),0.081,0.356026,0.017104,4.583714,
2430,UNSODA(lab),0.216834,0.441152,0.018989,1.700003,
2431,UNSODA(lab),0.210455,0.431209,0.024243,1.601024,
2432,UNSODA(lab),0.204989,0.393684,0.039946,1.520224,
2433,UNSODA(lab),0.119622,0.360177,0.032852,1.32304,
2434,UNSODA(lab),0,0.343396,0.049038,1.184967,
2435,UNSODA(lab),0.144354,0.352874,0.036361,1.805384,
2440,UNSODA(lab),0.230897,0.368975,0.013066,2.870867,
2441,UNSODA(lab),0.155774,0.351695,0.018612,2.540179,
2442,UNSODA(lab),0.081553,0.355606,0.036428,4.172666,
