Code,Description,Sand,Silt,Clay,Gravel,Bulkdensity,Porosity,Particledensity,Organicmatter,Organiccarbon,Theta10,Theta33,Theta1500,Textureclass,Theta_r_fitted,Theta_s_fitted,Alpha_fitted,Npar_fitted,Theta_r_Full,Theta_s_Full,Alpha_Full,N_Full,Theta_r_SSC,Theta_s_SSC,Alpha_SSC,N_SSC,Theta_r_SSCBD,Theta_s_SSCBD,Alpha_SSCBD,N_SSCBD
1010,UNSODA(lab),83,14,3,,1.64,,,,,,0.087681869,0.077854791,4,0.076728,0.368268,0.026822,2.503712,0.06676,0.33428,0.04079,2.80763,0.03826,0.38823,0.04354,1.90593,0.0394,0.34282,0.0444,1.97351
1011,UNSODA(lab),82.6,14.4,3,,1.52,,,,,,0.06982763,0.067393981,4,0.0673,0.400885,0.028611,3.174515,0.06597,0.36122,0.03522,3.73787,0.03784,0.38856,0.04384,1.87853,0.04038,0.37594,0.04253,1.98157
1012,UNSODA(lab),82.5,15,2.5,,1.4,,,,,,0.061547233,0.05809206,4,0.0579,0.371368,0.029914,2.944805,0.05721,0.39169,0.03604,3.86008,0.03677,0.38982,0.04486,1.88288,0.04,0.40662,0.04342,1.90267
1013,UNSODA(lab),85,13,2,,1.49,,,,,,0.046655834,0.041784985,4,0.0414,0.37214,0.033335,2.726928,0.04706,0.36769,0.0384,3.56472,0.03851,0.38885,0.04378,2.09205,0.04132,0.38387,0.0418,2.18308
1014,UNSODA(lab),87,11,2,,1.53,,,,,,0.041079855,0.036783951,5,0.0365,0.364938,0.031002,2.837025,0.04517,0.35889,0.03853,3.56138,0.0409,0.38694,0.04184,2.29034,0.04301,0.37425,0.03996,2.39761
1015,UNSODA(lab),81.8,12.1,6.1,,1.72,,,,,,0.139220568,0.118441543,4,0.104212,0.263295,0.037588,1.598567,0.08583,0.32574,0.04656,1.99838,0.04307,0.38316,0.03903,1.76498,0.04112,0.325,0.04352,1.73763
1020,UNSODA(lab),90,5.5,4.5,,1.61,,,,,,0.103227258,0.097419427,5,0.096456,0.403505,0.0585,2.288246,0.09093,0.35534,0.03747,3.11342,0.05039,0.37803,0.0341,2.52916,0.04883,0.35623,0.03461,2.54866
1021,UNSODA(lab),89,5,6,,1.58,,,,,,0.083050931,0.073010602,5,0.069329,0.364639,0.103375,1.869308,0.0666,0.3641,0.04224,2.82537,0.05232,0.37607,0.03248,2.33949,0.05084,0.36742,0.03336,2.39212
1022,UNSODA(lab),89.3,6.4,4.3,,1.6,,,,,,0.064442274,0.054839217,5,0.051373,0.366617,0.114223,1.876864,0.05318,0.35309,0.04262,2.88665,0.04895,0.37928,0.03516,2.45482,0.04795,0.35888,0.03545,2.49614
1023,UNSODA(lab),94,4,2,,1.67,,,,,,0.0508298,0.044414249,5,0.042378,0.340339,0.133962,1.940188,0.04845,0.33428,0.04068,3.10973,0.04979,0.3792,0.03502,3.24567,0.04816,0.33497,0.03402,3.14752
1024,UNSODA(lab),95,3,2,,1.68,,,,,,0.052004631,0.04769368,5,0.046643,0.319176,0.116449,2.076583,0.05203,0.33271,0.03901,3.27983,0.05099,0.37793,0.03417,3.40515,0.04899,0.33203,0.03312,3.26807
1030,UNSODA(lab),79,13.7,7.3,,1.48,,,,,,0.096435855,0.06253512,4,0.05,0.386638,0.02939,1.868985,0.04302,0.38546,0.05593,1.88282,0.04265,0.38329,0.03883,1.62261,0.04477,0.39355,0.0376,1.7179
1031,UNSODA(lab),77.9,13.9,8.2,,1.48,,,,,,0.093244154,0.061052108,8,0.05,0.36112,0.026552,1.905705,0.04362,0.38497,0.05545,1.92323,0.04344,0.38271,0.03801,1.57545,0.04556,0.3945,0.03653,1.67013
1032,UNSODA(lab),78,13.4,8.6,,1.53,,,,,,0.101746447,0.060847766,8,0.040169,0.362252,0.029281,1.725752,0.04006,0.37373,0.057,1.71625,0.04429,0.38209,0.03744,1.57341,0.0456,0.3817,0.03676,1.66305
1041,UNSODA(lab),92.9,5,2,,1.512,,,,,,0.067941104,0.06748876,5,0.067484,0.325247,0.024775,4.014851,0.06794,0.37589,0.03434,3.98626,0.04853,0.38028,0.03587,3.0803,0.04972,0.38275,0.03425,3.17217
1042,UNSODA(lab),95.9,1,3.1,,1.562,,,,,,0.056465595,0.056105033,5,0.056102,0.333793,0.024741,4.161303,0.06152,0.36707,0.03548,3.88144,0.05487,0.37372,0.03131,3.46452,0.05418,0.36949,0.03037,3.53839
1043,UNSODA(lab),93.2,3.9,2.9,,1.593,,,,,,0.044119457,0.043946655,5,0.043946,0.313618,0.02227,4.684471,0.05342,0.3524,0.03587,3.87312,0.05099,0.37787,0.03399,3.06236,0.05013,0.35942,0.03317,3.09404
1050,UNSODA(lab),92.2,4.6,3.2,,1.6,,,,,,0.072337082,0.07173412,5,0.071716,0.366903,0.042483,3.334381,0.07318,0.35369,0.0347,3.75674,0.0504,0.37837,0.03435,2.89628,0.04938,0.35762,0.03386,2.92135
1051,UNSODA(lab),87.1,4.7,8.2,,1.59,,,,,,0.068322844,0.067410886,4,0.067358,0.374099,0.061121,2.917883,0.07361,0.35827,0.03636,3.59748,0.05425,0.37409,0.03078,2.06384,0.05236,0.36695,0.03229,2.11353
1052,UNSODA(lab),90.9,2.6,6.5,,1.55,,,,,,0.062051408,0.061859677,5,0.061854,0.352139,0.068062,3.343796,0.06846,0.3704,0.03571,3.8136,0.05633,0.37253,0.02973,2.52851,0.05468,0.37765,0.03075,2.59626
